order_id,customer_id,product,category,price,quantity,order_date,region
ORD-0001,CUS-1081,笔记本电脑,电子产品,4999,3,2025-04-08,华南
ORD-0002,CUS-1094,笔记本电脑,电子产品,3999,5,2025-07-02,华东
ORD-0003,CUS-1011,智能手机,电子产品,1999,5,2025-10-01,东北
ORD-0004,CUS-1025,显示器,配件,1299,2,2025-08-19,华北
ORD-0005,CUS-1000,智能手机,电子产品,1299,3,2025-05-05,华南
ORD-0006,CUS-1097,平板电脑,电子产品,3999,1,2025-07-04,华北
ORD-0007,CUS-1044,耳机,配件,999,1,2025-12-15,东北
ORD-0008,CUS-1015,智能手表,电子产品,3999,5,2025-05-27,东北
ORD-0009,CUS-1046,耳机,配件,1999,1,2025-01-22,华南
ORD-0010,CUS-1098,平板电脑,电子产品,3999,2,2025-02-13,华北
ORD-0011,CUS-1058,显示器,配件,699,2,2025-06-12,华南
ORD-0012,CUS-1085,平板电脑,电子产品,3999,5,2025-11-06,东北
ORD-0013,CUS-1093,智能手机,电子产品,2999,4,2025-07-09,东北
ORD-0014,CUS-1028,显示器,配件,699,1,2025-04-27,华东
ORD-0015,CUS-1040,智能手表,电子产品,999,,2025-04-19,华北
ORD-0016,CUS-1027,显示器,配件,2599,4,2025-11-15,华南
ORD-0017,CUS-1033,智能手机,电子产品,1999,5,2025-09-09,东北
ORD-0018,CUS-1054,耳机,配件,1299,3,2025-04-05,东北
ORD-0019,CUS-1063,笔记本电脑,电子产品,4999,1,2025-03-21,华南
ORD-0020,CUS-1087,智能手表,电子产品,3999,4,2025-07-20,西南
ORD-0021,CUS-1067,平板电脑,电子产品,4999,1,2025-11-18,华北
ORD-0022,CUS-1098,显示器,配件,699,1,2025-05-14,华南
ORD-0023,CUS-1058,笔记本电脑,电子产品,999,5,2025-03-17,华东
ORD-0024,CUS-1080,平板电脑,电子产品,1999,2,2025-06-25,华南
ORD-0025,CUS-1069,耳机,配件,4999,5,2025-06-16,华东
ORD-0026,CUS-1014,平板电脑,电子产品,999,2,2025-01-08,东北
ORD-0027,CUS-1010,笔记本电脑,电子产品,2599,1,2025-09-25,华南
ORD-0028,CUS-1016,显示器,配件,2599,5,2025-03-09,东北
ORD-0029,CUS-1077,智能手表,电子产品,1999,5,2025-12-23,华南
ORD-0030,CUS-1091,平板电脑,电子产品,1299,3,2025-08-17,西南
ORD-0031,CUS-1015,智能手机,电子产品,1999,1,2025-06-01,东北
ORD-0032,CUS-1070,智能手机,电子产品,1999,1,2025-02-23,华东
ORD-0033,CUS-1029,笔记本电脑,电子产品,4999,3,2025-02-17,华南
ORD-0034,CUS-1035,显示器,配件,2599,2,2025-09-05,东北
ORD-0035,CUS-1073,智能手表,电子产品,1999,4,2025-07-07,
ORD-0036,CUS-1012,显示器,配件,1299,3,2025-07-14,西南
ORD-0037,CUS-1093,笔记本电脑,电子产品,3999,1,2025-07-24,华北
ORD-0038,CUS-1013,智能手机,电子产品,1999,2,2025-09-15,华南
ORD-0039,CUS-1054,智能手机,电子产品,999,4,2025-04-28,华东
ORD-0040,CUS-1056,耳机,配件,3999,1,2025-11-18,华东
ORD-0041,CUS-1011,智能手机,电子产品,2999,4,2025-08-16,华南
ORD-0042,CUS-1051,笔记本电脑,电子产品,2999,4,2025-01-13,华北
ORD-0043,CUS-1058,平板电脑,电子产品,1299,5,2025-11-23,西南
ORD-0044,CUS-1019,智能手机,电子产品,999,2,2025-01-19,东北
ORD-0045,CUS-1007,显示器,配件,699,1,2025-01-19,西南
ORD-0046,CUS-1064,耳机,配件,2999,1,2025-09-03,
ORD-0047,CUS-1008,耳机,配件,3999,2,2025-07-04,东北
ORD-0048,CUS-1031,耳机,配件,4999,5,2025-02-14,东北
ORD-0049,CUS-1072,耳机,配件,699,3,2025-04-22,华北
ORD-0050,CUS-1030,平板电脑,电子产品,1299,2,2025-11-21,华北
ORD-0051,CUS-1058,平板电脑,电子产品,3999,1,2025-08-20,东北
ORD-0052,CUS-1012,笔记本电脑,电子产品,1999,5,2025-05-05,华北
ORD-0053,CUS-1008,智能手机,电子产品,699,3,2025-03-15,东北
ORD-0054,CUS-1090,平板电脑,电子产品,4999,5,2025-05-22,华东
ORD-0055,CUS-1017,平板电脑,电子产品,3999,1,2025-12-18,华南
ORD-0056,CUS-1034,平板电脑,电子产品,1999,3,2025-04-22,华北
ORD-0057,CUS-1064,智能手表,电子产品,999,1,2025-02-21,西南
ORD-0058,CUS-1035,笔记本电脑,电子产品,4999,3,2025-03-21,华北
ORD-0059,CUS-1020,显示器,配件,2599,5,2025-12-14,东北
ORD-0060,CUS-1001,笔记本电脑,电子产品,3999,2,2025-09-02,华北
ORD-0061,CUS-1074,耳机,配件,2999,4,2025-03-02,华北
ORD-0062,CUS-1046,笔记本电脑,电子产品,699,2,2025-11-08,华东
ORD-0063,CUS-1045,耳机,配件,1299,5,2025-12-05,华南
ORD-0064,CUS-1020,智能手机,电子产品,,1,2025-03-24,华北
ORD-0065,CUS-1052,显示器,配件,1999,3,2025-03-26,华东
ORD-0066,CUS-1048,笔记本电脑,电子产品,2599,2,2025-04-27,西南
ORD-0067,CUS-1044,平板电脑,电子产品,1999,2,2025-01-22,华南
ORD-0068,CUS-1051,平板电脑,电子产品,999,1,2025-05-12,
ORD-0069,CUS-1051,显示器,配件,699,1,2025-02-09,华南
ORD-0070,CUS-1074,平板电脑,电子产品,4999,1,2025-10-14,华北
ORD-0071,CUS-1093,平板电脑,电子产品,1299,5,2025-09-04,西南
ORD-0072,CUS-1073,智能手机,电子产品,999,1,2025-12-14,华东
ORD-0073,CUS-1066,耳机,配件,1999,,2025-07-03,华北
ORD-0074,CUS-1079,平板电脑,电子产品,3999,3,2025-09-10,西南
ORD-0075,CUS-1041,智能手表,电子产品,999,5,2025-03-07,西南
ORD-0076,CUS-1085,智能手表,电子产品,2999,5,2025-10-10,西南
ORD-0077,CUS-1070,笔记本电脑,电子产品,999,3,2025-04-14,东北
ORD-0078,CUS-1077,显示器,配件,699,4,2025-08-15,华南
ORD-0079,CUS-1065,智能手表,电子产品,2999,1,2025-05-17,东北
ORD-0080,CUS-1042,笔记本电脑,电子产品,1999,3,2025-04-26,华南
ORD-0081,CUS-1018,笔记本电脑,电子产品,4999,2,2025-08-20,华东
ORD-0082,CUS-1058,智能手表,电子产品,,4,2025-08-13,华南
ORD-0083,CUS-1018,显示器,配件,4999,1,2025-07-08,华南
ORD-0084,CUS-1089,耳机,配件,2599,1,2025-09-08,华东
ORD-0085,CUS-1058,智能手机,电子产品,2599,5,2025-09-20,华北
ORD-0086,CUS-1096,智能手表,电子产品,1299,5,2025-08-06,西南
ORD-0087,CUS-1057,平板电脑,电子产品,1999,3,2025-09-16,华南
ORD-0088,CUS-1035,智能手表,电子产品,3999,3,2025-04-09,华北
ORD-0089,CUS-1040,耳机,配件,3999,2,2025-03-08,西南
ORD-0090,CUS-1088,智能手机,电子产品,1999,1,2025-07-14,华北
ORD-0091,CUS-1069,智能手表,电子产品,,1,2025-04-27,西南
ORD-0092,CUS-1049,耳机,配件,4999,5,2025-07-16,华东
ORD-0093,CUS-1045,平板电脑,电子产品,1299,4,2025-09-24,东北
ORD-0094,CUS-1077,智能手机,电子产品,2599,2,2025-05-14,西南
ORD-0095,CUS-1003,智能手表,电子产品,699,4,2025-12-06,西南
ORD-0096,CUS-1016,耳机,配件,4999,4,2025-10-19,华东
ORD-0097,CUS-1010,显示器,配件,1299,2,2025-08-06,华东
ORD-0098,CUS-1033,智能手表,电子产品,699,2,2025-08-11,华北
ORD-0099,CUS-1097,智能手表,电子产品,999,4,2025-05-27,华东
ORD-0100,CUS-1060,笔记本电脑,电子产品,4999,3,2025-04-21,华东
ORD-0101,CUS-1099,显示器,配件,4999,1,2025-04-07,华东
ORD-0102,CUS-1079,智能手机,电子产品,1999,2,2025-08-22,华东
ORD-0103,CUS-1072,智能手机,电子产品,2599,3,2025-06-06,东北
