order_id,customer_id,product,category,price,quantity,order_date,region
ORD-0056,CUS-1034,平板电脑,电子产品,1999.0,3.0,2025-04-22,华北
ORD-0173,CUS-1020,笔记本电脑,电子产品,2599.0,3.0,2025-10-10,西南
ORD-0185,CUS-1001,平板电脑,电子产品,3999.0,4.0,2025-06-22,华北
ORD-0168,CUS-1003,笔记本电脑,电子产品,699.0,1.0,2025-05-12,华北
ORD-0140,CUS-1034,耳机,配件,2599.0,4.0,2025-02-20,华东
ORD-0254,CUS-1011,显示器,配件,1299.0,3.0,2025-06-01,华北
ORD-0039,CUS-1054,智能手机,电子产品,999.0,4.0,2025-04-28,华东
ORD-0126,CUS-1081,智能手表,电子产品,3999.0,1.0,2025-10-10,西南
ORD-0196,CUS-1002,笔记本电脑,电子产品,699.0,2.0,2025-03-26,东北
ORD-0284,CUS-1060,平板电脑,电子产品,4999.0,2.0,2025-05-12,华东
ORD-0138,CUS-1009,笔记本电脑,电子产品,2999.0,3.0,2025-10-24,东北
ORD-0113,CUS-1096,智能手表,电子产品,1299.0,3.0,2025-01-16,华北
ORD-0169,CUS-1055,智能手机,电子产品,1999.0,5.0,2025-07-19,华南
ORD-0118,CUS-1028,智能手表,电子产品,1999.0,3.0,2025-11-19,华北
ORD-0278,CUS-1047,平板电脑,电子产品,4999.0,3.0,2025-02-12,华南
ORD-0272,CUS-1067,智能手表,电子产品,3999.0,3.0,2025-04-10,华东
ORD-0156,CUS-1043,耳机,配件,999.0,1.0,2025-05-24,华北
ORD-0177,CUS-1087,显示器,配件,4999.0,5.0,2025-12-16,华北
ORD-0179,CUS-1032,显示器,配件,2999.0,1.0,2025-11-21,华东
ORD-0003,CUS-1011,智能手机,电子产品,1999.0,5.0,2025-10-01,东北
ORD-0116,CUS-1010,智能手机,电子产品,1999.0,4.0,2025-09-25,华南
ORD-0144,CUS-1081,智能手表,电子产品,3999.0,4.0,2025-06-14,华北
ORD-0178,CUS-1099,智能手机,电子产品,699.0,2.0,2025-11-07,东北
ORD-0121,CUS-1015,显示器,配件,1999.0,3.0,2025-02-24,东北
ORD-0211,CUS-1085,平板电脑,电子产品,699.0,2.0,2025-11-16,华东
ORD-0261,CUS-1039,智能手表,电子产品,1999.0,3.0,2025-11-19,西南
ORD-0128,CUS-1014,笔记本电脑,电子产品,1299.0,4.0,2025-02-19,华东
ORD-0075,CUS-1041,智能手表,电子产品,999.0,5.0,2025-03-07,西南
ORD-0030,CUS-1091,平板电脑,电子产品,1299.0,3.0,2025-08-17,西南
ORD-0084,CUS-1089,耳机,配件,2599.0,1.0,2025-09-08,华东
ORD-0270,CUS-1097,显示器,配件,2599.0,4.0,2025-10-01,华东
ORD-0108,CUS-1054,显示器,配件,699.0,1.0,2025-09-21,华北
ORD-0224,CUS-1034,智能手表,电子产品,1299.0,4.0,2025-10-15,西南
ORD-0159,CUS-1089,智能手机,电子产品,1299.0,2.0,2025-07-02,华北
ORD-0281,CUS-1099,显示器,配件,2599.0,4.0,2025-11-06,华南
ORD-0247,CUS-1031,显示器,配件,2599.0,4.0,2025-09-17,东北
ORD-0223,CUS-1006,智能手机,电子产品,2999.0,5.0,2025-01-22,华东
ORD-0066,CUS-1048,笔记本电脑,电子产品,2599.0,2.0,2025-04-27,西南
ORD-0199,CUS-1032,智能手机,电子产品,3999.0,1.0,2025-03-01,华北
ORD-0086,CUS-1096,智能手表,电子产品,1299.0,5.0,2025-08-06,西南
ORD-0214,CUS-1085,笔记本电脑,电子产品,1299.0,3.0,2025-11-25,西南
ORD-0160,CUS-1095,智能手表,电子产品,1299.0,4.0,2025-11-26,华东
ORD-0013,CUS-1093,智能手机,电子产品,2999.0,4.0,2025-07-09,东北
ORD-0036,CUS-1012,显示器,配件,1299.0,3.0,2025-07-14,西南
ORD-0029,CUS-1077,智能手表,电子产品,1999.0,5.0,2025-12-23,华南
ORD-0143,CUS-1060,耳机,配件,2599.0,3.0,2025-03-19,西南
ORD-0285,CUS-1083,平板电脑,电子产品,999.0,3.0,2025-06-14,西南
ORD-0255,CUS-1039,智能手机,电子产品,1999.0,3.0,2025-08-07,华南
ORD-0171,CUS-1063,耳机,配件,2999.0,2.0,2025-08-21,华北
ORD-0052,CUS-1012,笔记本电脑,电子产品,1999.0,5.0,2025-05-05,华北
ORD-0096,CUS-1016,耳机,配件,4999.0,4.0,2025-10-19,华东
ORD-0209,CUS-1092,智能手机,电子产品,1299.0,4.0,2025-04-14,华北
ORD-0248,CUS-1020,平板电脑,电子产品,699.0,3.0,2025-07-14,华北
ORD-0042,CUS-1051,笔记本电脑,电子产品,2999.0,4.0,2025-01-13,华北
ORD-0090,CUS-1088,智能手机,电子产品,1999.0,1.0,2025-07-14,华北
ORD-0245,CUS-1041,耳机,配件,2599.0,5.0,2025-03-02,西南
ORD-0137,CUS-1054,笔记本电脑,电子产品,1999.0,2.0,2025-05-27,华南
ORD-0027,CUS-1010,笔记本电脑,电子产品,2599.0,1.0,2025-09-25,华南
ORD-0294,CUS-1046,智能手表,电子产品,4999.0,5.0,2025-03-22,西南
ORD-0142,CUS-1029,显示器,配件,4999.0,3.0,2025-10-02,华南
ORD-0201,CUS-1016,显示器,配件,1299.0,5.0,2025-02-24,华东
ORD-0001,CUS-1081,笔记本电脑,电子产品,4999.0,3.0,2025-04-08,华南
ORD-0269,CUS-1018,智能手机,电子产品,4999.0,3.0,2025-08-23,华南
ORD-0273,CUS-1006,智能手机,电子产品,1299.0,5.0,2025-08-03,华东
ORD-0101,CUS-1099,显示器,配件,4999.0,1.0,2025-04-07,华东
ORD-0260,CUS-1056,耳机,配件,999.0,4.0,2025-04-18,华南
ORD-0256,CUS-1017,智能手机,电子产品,3999.0,3.0,2025-02-17,东北
ORD-0172,CUS-1058,平板电脑,电子产品,4999.0,4.0,2025-05-22,东北
ORD-0099,CUS-1097,智能手表,电子产品,999.0,4.0,2025-05-27,华东
ORD-0037,CUS-1093,笔记本电脑,电子产品,3999.0,1.0,2025-07-24,华北
ORD-0062,CUS-1046,笔记本电脑,电子产品,699.0,2.0,2025-11-08,华东
ORD-0151,CUS-1003,显示器,配件,1999.0,2.0,2025-05-18,华东
ORD-0237,CUS-1030,笔记本电脑,电子产品,2999.0,3.0,2025-04-06,东北
ORD-0203,CUS-1064,智能手机,电子产品,4999.0,5.0,2025-05-15,华东
ORD-0243,CUS-1047,平板电脑,电子产品,3999.0,1.0,2025-10-20,东北
ORD-0012,CUS-1085,平板电脑,电子产品,3999.0,5.0,2025-11-06,东北
ORD-0297,CUS-1094,智能手机,电子产品,2599.0,5.0,2025-07-18,华东
ORD-0268,CUS-1028,笔记本电脑,电子产品,699.0,1.0,2025-12-21,华北
ORD-0028,CUS-1016,显示器,配件,2599.0,5.0,2025-03-09,东北
ORD-0220,CUS-1023,智能手机,电子产品,1299.0,1.0,2025-03-24,华东
ORD-0005,CUS-1000,智能手机,电子产品,1299.0,3.0,2025-05-05,华南
